path,from_line,to_line,status,notes,source_of_truth_ref
SUTAZAI_FEATURES_AND_USERSTORIES_BIBLE.md,1,100,⚠️unclear,,
SUTAZAI_FEATURES_AND_USERSTORIES_BIBLE.md,101,200,⚠️unclear,,
SUTAZAI_FEATURES_AND_USERSTORIES_BIBLE.md,201,300,⚠️unclear,,
SUTAZAI_FEATURES_AND_USERSTORIES_BIBLE.md,301,400,⚠️unclear,,
SUTAZAI_FEATURES_AND_USERSTORIES_BIBLE.md,401,500,⚠️unclear,,
SUTAZAI_FEATURES_AND_USERSTORIES_BIBLE.md,501,526,⚠️unclear,,
SUTAZAI_MVP.md,1,100,⚠️unclear,,
SUTAZAI_MVP.md,101,200,⚠️unclear,,
SUTAZAI_MVP.md,201,300,⚠️unclear,,
SUTAZAI_MVP.md,301,400,⚠️unclear,,
SUTAZAI_MVP.md,401,500,⚠️unclear,,
SUTAZAI_MVP.md,501,600,⚠️unclear,,
SUTAZAI_MVP.md,601,700,⚠️unclear,,
SUTAZAI_MVP.md,701,800,⚠️unclear,,
SUTAZAI_MVP.md,801,900,⚠️unclear,,
SUTAZAI_MVP.md,901,1000,⚠️unclear,,
SUTAZAI_MVP.md,1001,1100,⚠️unclear,,
SUTAZAI_MVP.md,1101,1200,⚠️unclear,,
SUTAZAI_MVP.md,1201,1300,⚠️unclear,,
SUTAZAI_MVP.md,1301,1400,⚠️unclear,,
SUTAZAI_MVP.md,1401,1500,⚠️unclear,,
SUTAZAI_MVP.md,1501,1600,⚠️unclear,,
SUTAZAI_MVP.md,1601,1700,⚠️unclear,,
SUTAZAI_MVP.md,1701,1800,⚠️unclear,,
SUTAZAI_MVP.md,1801,1900,⚠️unclear,,
SUTAZAI_MVP.md,1901,2000,⚠️unclear,,
SUTAZAI_MVP.md,2001,2100,⚠️unclear,,
SUTAZAI_MVP.md,2101,2150,⚠️unclear,,
PERFECT_JARVIS_SYNTHESIS_PLAN.md,1,100,⚠️unclear,,
PERFECT_JARVIS_SYNTHESIS_PLAN.md,101,200,⚠️unclear,,
PERFECT_JARVIS_SYNTHESIS_PLAN.md,201,300,⚠️unclear,,
PERFECT_JARVIS_SYNTHESIS_PLAN.md,301,302,⚠️unclear,,
SUTAZAI_PRD.md,1,100,⚠️unclear,,
SUTAZAI_PRD.md,101,200,⚠️unclear,,
SUTAZAI_PRD.md,201,300,⚠️unclear,,
SUTAZAI_PRD.md,301,400,⚠️unclear,,
SUTAZAI_PRD.md,401,500,⚠️unclear,,
SUTAZAI_PRD.md,501,600,⚠️unclear,,
SUTAZAI_PRD.md,601,700,⚠️unclear,,
SUTAZAI_PRD.md,701,800,⚠️unclear,,
SUTAZAI_PRD.md,801,900,⚠️unclear,,
SUTAZAI_PRD.md,901,1000,⚠️unclear,,
SUTAZAI_PRD.md,1001,1100,⚠️unclear,,
SUTAZAI_PRD.md,1101,1200,⚠️unclear,,
SUTAZAI_PRD.md,1201,1300,⚠️unclear,,
SUTAZAI_PRD.md,1301,1400,⚠️unclear,,
SUTAZAI_PRD.md,1401,1500,⚠️unclear,,
SUTAZAI_PRD.md,1501,1600,⚠️unclear,,
