agent_id,role,scope,lead,channel
Claude-001,Architecture Analysis,backend,Architect,coordination_bus/messages/status.jsonl
Claude-002,Architecture Analysis,services,Architect,coordination_bus/messages/status.jsonl
Claude-003,Architecture Analysis,agents,Architect,coordination_bus/messages/status.jsonl
Claude-004,Architecture Analysis,frontend,Architect,coordination_bus/messages/status.jsonl
Claude-005,Architecture Analysis,scripts,Architect,coordination_bus/messages/status.jsonl
Claude-006,Architecture Analysis,backend,Architect,coordination_bus/messages/status.jsonl
Claude-007,Architecture Analysis,services,Architect,coordination_bus/messages/status.jsonl
Claude-008,Architecture Analysis,agents,Architect,coordination_bus/messages/status.jsonl
Claude-009,Architecture Analysis,frontend,Architect,coordination_bus/messages/status.jsonl
Claude-010,Architecture Analysis,scripts,Architect,coordination_bus/messages/status.jsonl
Claude-011,Discovery Static Analysis,backend,Architect,coordination_bus/messages/status.jsonl
Claude-012,Discovery Static Analysis,services,Architect,coordination_bus/messages/status.jsonl
Claude-013,Discovery Static Analysis,agents,Architect,coordination_bus/messages/status.jsonl
Claude-014,Discovery Static Analysis,frontend,Architect,coordination_bus/messages/status.jsonl
Claude-015,Discovery Static Analysis,scripts,Architect,coordination_bus/messages/status.jsonl
Claude-016,Discovery Static Analysis,backend,Architect,coordination_bus/messages/status.jsonl
Claude-017,Discovery Static Analysis,services,Architect,coordination_bus/messages/status.jsonl
Claude-018,Discovery Static Analysis,agents,Architect,coordination_bus/messages/status.jsonl
Claude-019,Discovery Static Analysis,frontend,Architect,coordination_bus/messages/status.jsonl
Claude-020,Discovery Static Analysis,scripts,Architect,coordination_bus/messages/status.jsonl
Claude-021,Discovery Static Analysis,backend,Architect,coordination_bus/messages/status.jsonl
Claude-022,Discovery Static Analysis,services,Architect,coordination_bus/messages/status.jsonl
Claude-023,Discovery Static Analysis,agents,Architect,coordination_bus/messages/status.jsonl
Claude-024,Discovery Static Analysis,frontend,Architect,coordination_bus/messages/status.jsonl
Claude-025,Discovery Static Analysis,scripts,Architect,coordination_bus/messages/status.jsonl
Claude-026,Discovery Static Analysis,backend,Architect,coordination_bus/messages/status.jsonl
Claude-027,Discovery Static Analysis,services,Architect,coordination_bus/messages/status.jsonl
Claude-028,Discovery Static Analysis,agents,Architect,coordination_bus/messages/status.jsonl
