State  Recv-Q Send-Q  Local Address:Port  Peer Address:PortProcess                                               
LISTEN 0      4096          0.0.0.0:10314      0.0.0.0:*    users:(("docker-proxy",pid=2061,fd=4))               
LISTEN 0      4096          0.0.0.0:10015      0.0.0.0:*    users:(("docker-proxy",pid=878287,fd=4))             
LISTEN 0      4096          0.0.0.0:10008      0.0.0.0:*    users:(("docker-proxy",pid=877743,fd=4))             
LISTEN 0      4096          0.0.0.0:10010      0.0.0.0:*    users:(("docker-proxy",pid=1215521,fd=4))            
LISTEN 0      4096          0.0.0.0:10011      0.0.0.0:*    users:(("docker-proxy",pid=959928,fd=4))             
LISTEN 0      4096          0.0.0.0:10005      0.0.0.0:*    users:(("docker-proxy",pid=878265,fd=4))             
LISTEN 0      4096          0.0.0.0:10006      0.0.0.0:*    users:(("docker-proxy",pid=878638,fd=4))             
LISTEN 0      4096          0.0.0.0:10007      0.0.0.0:*    users:(("docker-proxy",pid=877728,fd=4))             
LISTEN 0      4096          0.0.0.0:10000      0.0.0.0:*    users:(("docker-proxy",pid=885040,fd=4))             
LISTEN 0      4096          0.0.0.0:10001      0.0.0.0:*    users:(("docker-proxy",pid=875510,fd=4))             
LISTEN 0      4096          0.0.0.0:10002      0.0.0.0:*    users:(("docker-proxy",pid=875534,fd=4))             
LISTEN 0      4096          0.0.0.0:10003      0.0.0.0:*    users:(("docker-proxy",pid=875550,fd=4))             
LISTEN 0      4096          0.0.0.0:10104      0.0.0.0:*    users:(("docker-proxy",pid=878734,fd=4))             
LISTEN 0      4096          0.0.0.0:10100      0.0.0.0:*    users:(("docker-proxy",pid=878848,fd=4))             
LISTEN 0      4096          0.0.0.0:10101      0.0.0.0:*    users:(("docker-proxy",pid=878029,fd=4))             
LISTEN 0      4096          0.0.0.0:10102      0.0.0.0:*    users:(("docker-proxy",pid=878053,fd=4))             
LISTEN 0      4096          0.0.0.0:10103      0.0.0.0:*    users:(("docker-proxy",pid=877820,fd=4))             
LISTEN 0      4096       127.0.0.54:53         0.0.0.0:*    users:(("systemd-resolve",pid=204,fd=17))            
LISTEN 0      4096          0.0.0.0:10212      0.0.0.0:*    users:(("docker-proxy",pid=877617,fd=4))             
LISTEN 0      4096          0.0.0.0:10213      0.0.0.0:*    users:(("docker-proxy",pid=877597,fd=4))             
LISTEN 0      4096          0.0.0.0:10214      0.0.0.0:*    users:(("docker-proxy",pid=877566,fd=4))             
LISTEN 0      4096          0.0.0.0:10215      0.0.0.0:*    users:(("docker-proxy",pid=877581,fd=4))             
LISTEN 0      4096          0.0.0.0:10208      0.0.0.0:*    users:(("docker-proxy",pid=879047,fd=4))             
LISTEN 0      4096          0.0.0.0:10210      0.0.0.0:*    users:(("docker-proxy",pid=877649,fd=4))             
LISTEN 0      4096          0.0.0.0:10211      0.0.0.0:*    users:(("docker-proxy",pid=877633,fd=4))             
LISTEN 0      4096          0.0.0.0:10204      0.0.0.0:*    users:(("docker-proxy",pid=877775,fd=4))             
LISTEN 0      4096          0.0.0.0:10205      0.0.0.0:*    users:(("docker-proxy",pid=878094,fd=4))             
LISTEN 0      4096          0.0.0.0:10206      0.0.0.0:*    users:(("docker-proxy",pid=877924,fd=4))             
LISTEN 0      4096          0.0.0.0:10200      0.0.0.0:*    users:(("docker-proxy",pid=1265762,fd=4))            
LISTEN 0      4096          0.0.0.0:10201      0.0.0.0:*    users:(("docker-proxy",pid=880435,fd=4))             
LISTEN 0      4096          0.0.0.0:10202      0.0.0.0:*    users:(("docker-proxy",pid=878393,fd=4))             
LISTEN 0      4096          0.0.0.0:10203      0.0.0.0:*    users:(("docker-proxy",pid=879011,fd=4))             
LISTEN 0      5           127.0.0.1:8081       0.0.0.0:*    users:(("python3",pid=275464,fd=3))                  
LISTEN 0      4096          0.0.0.0:8551       0.0.0.0:*    users:(("docker-proxy",pid=1276650,fd=4))            
LISTEN 0      1024        127.0.0.1:33871      0.0.0.0:*    users:(("code-360a4e4fd2",pid=1003568,fd=9))         
LISTEN 0      4096    127.0.0.53%lo:53         0.0.0.0:*    users:(("systemd-resolve",pid=204,fd=15))            
LISTEN 0      4096        127.0.0.1:33081      0.0.0.0:*    users:(("containerd",pid=272,fd=10))                 
LISTEN 0      1000   10.255.255.254:53         0.0.0.0:*                                                         
LISTEN 0      4096          0.0.0.0:12376      0.0.0.0:*    users:(("docker-proxy",pid=1577611,fd=4))            
LISTEN 0      4096          0.0.0.0:12375      0.0.0.0:*    users:(("docker-proxy",pid=1577595,fd=4))            
LISTEN 0      4096          0.0.0.0:19090      0.0.0.0:*    users:(("docker-proxy",pid=1577642,fd=4))            
LISTEN 0      4096          0.0.0.0:18080      0.0.0.0:*    users:(("docker-proxy",pid=1577626,fd=4))            
LISTEN 0      4096          0.0.0.0:18081      0.0.0.0:*    users:(("docker-proxy",pid=892334,fd=4))             
LISTEN 0      4096          0.0.0.0:22         0.0.0.0:*    users:(("sshd",pid=255,fd=3),("systemd",pid=1,fd=69))
LISTEN 0      511         127.0.0.1:9323       0.0.0.0:*    users:(("node",pid=131382,fd=21))                    
LISTEN 0      5           127.0.0.1:61209      0.0.0.0:*    users:(("glances",pid=221,fd=4))                     
LISTEN 0      4096             [::]:10314         [::]:*    users:(("docker-proxy",pid=2070,fd=4))               
LISTEN 0      4096             [::]:10015         [::]:*    users:(("docker-proxy",pid=878296,fd=4))             
LISTEN 0      4096             [::]:10008         [::]:*    users:(("docker-proxy",pid=877750,fd=4))             
LISTEN 0      4096             [::]:10010         [::]:*    users:(("docker-proxy",pid=1215527,fd=4))            
LISTEN 0      4096             [::]:10011         [::]:*    users:(("docker-proxy",pid=959935,fd=4))             
